dur,imx0,imx1,imy0,imy1,squareID,time,timeID,proc_group
2.048,-0.08000000000000007,-0.040000000000000036,-0.56,-0.52,2411,646018382.6667,-5122048,0
2.048,-0.08000000000000007,-0.040000000000000036,-0.52,-0.48,2412,646018382.6667,-5122048,1
2.048,-0.08000000000000007,-0.040000000000000036,-0.48,-0.43999999999999995,2413,646018382.6667,-5122048,2
2.048,-0.040000000000000036,0.0,-0.76,-0.72,2456,646018382.6667,-5122048,13
2.048,-0.040000000000000036,0.0,-0.72,-0.6799999999999999,2457,646018382.6667,-5122048,14
2.048,-0.040000000000000036,0.0,-0.6799999999999999,-0.64,2458,646018382.6667,-5122048,15
2.048,-0.040000000000000036,0.0,-0.64,-0.6,2459,646018382.6667,-5122048,16
2.048,-0.040000000000000036,0.0,-0.6,-0.56,2460,646018382.6667,-5122048,17
2.048,-0.040000000000000036,0.0,-0.56,-0.52,2461,646018382.6667,-5122048,18
2.048,-0.040000000000000036,0.0,-0.52,-0.48,2462,646018382.6667,-5122048,19
2.048,-0.040000000000000036,0.0,-0.48,-0.43999999999999995,2463,646018382.6667,-5122048,20
2.048,0.0,0.040000000000000036,-0.76,-0.72,2506,646018382.6667,-5122048,33
2.048,0.0,0.040000000000000036,-0.72,-0.6799999999999999,2507,646018382.6667,-5122048,34
2.048,0.0,0.040000000000000036,-0.6799999999999999,-0.64,2508,646018382.6667,-5122048,35
2.048,0.0,0.040000000000000036,-0.64,-0.6,2509,646018382.6667,-5122048,36
2.048,0.0,0.040000000000000036,-0.6,-0.56,2510,646018382.6667,-5122048,37
2.048,0.0,0.040000000000000036,-0.56,-0.52,2511,646018382.6667,-5122048,38
2.048,0.0,0.040000000000000036,-0.52,-0.48,2512,646018382.6667,-5122048,39
2.048,0.0,0.040000000000000036,-0.48,-0.43999999999999995,2513,646018382.6667,-5122048,40
2.048,-0.08000000000000007,-0.040000000000000036,-0.43999999999999995,-0.4,2414,646018382.6667,-5122048,3
2.048,-0.040000000000000036,0.0,-0.43999999999999995,-0.4,2464,646018382.6667,-5122048,21
2.048,0.0,0.040000000000000036,-0.43999999999999995,-0.4,2514,646018382.6667,-5122048,41
2.048,0.040000000000000036,0.08000000000000007,-0.72,-0.6799999999999999,2557,646018382.6667,-5122048,54
2.048,0.040000000000000036,0.08000000000000007,-0.6799999999999999,-0.64,2558,646018382.6667,-5122048,55
2.048,0.040000000000000036,0.08000000000000007,-0.64,-0.6,2559,646018382.6667,-5122048,56
2.048,0.040000000000000036,0.08000000000000007,-0.6,-0.56,2560,646018382.6667,-5122048,57
2.048,0.040000000000000036,0.08000000000000007,-0.56,-0.52,2561,646018382.6667,-5122048,58
2.048,0.040000000000000036,0.08000000000000007,-0.52,-0.48,2562,646018382.6667,-5122048,59
2.048,0.040000000000000036,0.08000000000000007,-0.48,-0.43999999999999995,2563,646018382.6667,-5122048,60
2.048,0.040000000000000036,0.08000000000000007,-0.43999999999999995,-0.4,2564,646018382.6667,-5122048,61
